"","Countries","renewables_percent","PPP_per_capita","diff_GDP_value","energy_use"
"43","Cote d'Ivoire",64.52802565,3241.612056,647963832.4,14227149512
"44","Croatia",33.12746664,20983.98528,989099411.6,8339395238
"45","Cyprus",9.942066016,30549.10097,471429445.7,1959544957
"46","Czech Republic",14.82856195,30605.42052,3237717490,42078684857
"47","Democratic Republic of Congo",95.81769971,812.4033701,281430873.3,29367050439
"48","Denmark",33.17027717,45458.69715,4566715892,17762804029
"50","Dominican Republic",16.48010921,13395.9168,1992793252,7810930111
"51","Early-demographic dividend",25.55484489,8257.164054,2.66e+11,2.76e+12
"52","East Asia & Pacific",13.85760268,15143.10143,5.37e+11,4.71e+12
"54","East Asia & Pacific (excluding high income)",15.86116048,12169.18083,3.87e+11,3.67e+12
"55","Ecuador",13.81668594,10749.12887,1935917531,13682592869
"56","Egypt",5.709377265,10095.61017,6501864206,78449439562
"57","El Salvador",24.40076999,7019.591789,386876344.8,4026406210
"59","Estonia",27.47683347,27549.58137,643578350.8,6081493707
"60","Ethiopia",92.16346114,1533.107632,1548106159,49625687452
"61","Euro area",16.0832622,37795.29058,1.67e+11,1.16e+12
"62","Europe & Central Asia",13.07308474,28801.84289,3.1e+11,2.92e+12
"64","Europe & Central Asia (excluding high income)",6.478533004,18505.61102,48786463089,1.26e+12
"65","European Union",16.56111224,35737.63286,2.47e+11,1.64e+12
"67","Finland",43.23526259,38941.7636,3247700675,33514057063
"68","Fragile and conflict affected situations",53.68924484,3891.673913,17662850058,2.81e+11
"69","France",13.49926232,37766.37411,35489078023,2.55e+11
"70","Gabon",82.00784369,16836.78342,317623681.5,5675291291
"72","Georgia",28.66253881,9025.133143,-84415447.72,3905359779
"73","Germany",14.2062527,43937.94713,45993936685,3.22e+11
"74","Ghana",41.41279431,3926.709045,1328033059,9370364122
"75","Greece",17.17004755,24170.30184,1882583563,23026954476
"77","Guatemala",63.65099179,7292.719104,1199749488,12552109860
"81","Haiti",76.07221323,1651.228445,49569888.39,4214293271
"82","Heavily indebted poor countries (HIPC)",77.23991042,2075.113894,15632278782,3.16e+11
"83","High income",11.16421052,41900.91825,8.08e+11,5.68e+12
"84","Honduras",51.53741358,4319.470118,441033825.6,5385288083
"85","Hong Kong",0.852783452,53591.83582,6410950405,14173160227
"86","Hungary",15.55936205,25034.45073,2182025943,22362839955
"87","IBRD only",17.40705474,11668.58755,6.81e+11,7.22e+12
"88","IDA & IBRD total",22.87595835,9584.725757,7.29e+11,8.21e+12
"89","IDA blend",62.92187106,4831.113233,23353851853,3.39e+11
"90","IDA only",69.74193936,2557.880588,25530695384,3.86e+11
"91","IDA total",66.40943922,3321.884195,49008938895,7.49e+11
"92","Iceland",77.02968921,43048.12515,298771475.5,6013601058
"93","India",36.02122257,5756.664665,71495293235,7.94e+11
"94","Indonesia",36.8793481,10367.70199,27132298358,2.23e+11
"95","Iran",0.913005057,16500.90051,9741142664,2.27e+11
"96","Iraq",0.798830769,15072.86867,4688137844,52951507758
"97","Ireland",9.081399013,60818.04624,8888785313,13235927562
"98","Israel",3.707766913,32024.35277,7128939553,24051714664
"99","Italy",16.51685058,34302.0374,12527489717,1.57e+11
"100","Jamaica",16.77190746,8095.261867,131125100.4,2910386441
"101","Japan",6.297357081,37882.98062,51402569337,4.54e+11
"102","Jordan",3.229170042,8491.050311,864794615.9,8404111470
"103","Kazakhstan",1.558442912,23524.06044,3598642613,83970273037
"104","Kenya",72.66275251,2835.99661,1222893050,22437587914
"106","Kosovo",20.45090897,9154.943527,239142163.1,2328723524
"107","Kuwait",0,68476.32504,4092120422,37997326122
"108","Kyrgyzstan",23.3068222,3237.602937,50513830.98,4112153385
"110","Late-demographic dividend",14.20181591,15075.12646,4.9e+11,5.04e+12
"111","Latin America & Caribbean",27.60249959,14568.25215,1.22e+11,8.7e+11
"113","Latin America & Caribbean (excluding high income)",30.0684226,13659.78363,1.1e+11,7.93e+11
"114","Latvia",38.09801717,23018.81611,725670008.9,4263868590
"115","Least developed countries: UN classification",73.21950492,2386.371898,23389632586,3.44e+11
"116","Lebanon",3.64671967,13352.71339,1335433897,7810313125
"119","Libya",1.966554457,14847.19705,-528415176.5,19715901089
"120","Lithuania",28.96117925,27045.71302,1268291520,6845841633
"121","Low & middle income",23.12873232,9334.022683,7.07e+11,8.05e+12
"123","Lower middle income",39.75628922,6053.883716,1.59e+11,1.85e+12
"124","Luxembourg",9.031313661,94088.59223,1436374294,4165032170
"126","Macedonia",24.21812973,12759.8166,116901879.8,2704832976
"129","Malaysia",5.194442589,25001.61267,9940824210,90196830367
"132","Malta",5.355004746,34087.08151,286426207.8,802524068.1
"135","Mauritius",11.53736196,18864.10566,317456893.5,1382206357
"136","Mexico",9.215213455,16938.60541,22765270538,1.97e+11
"138","Middle East & North Africa",1.557856614,17505.67476,78646184953,9.21e+11
"140","Middle East & North Africa (excluding high income)",2.530026853,11552.92418,33437687190,5e+11
"141","Middle income",20.81248072,10300.33069,6.95e+11,7.57e+12
"142","Moldova",14.27368871,4746.784911,178909335.3,3065980270
"143","Mongolia",3.42973729,11411.94211,313336207.9,5472180933
"144","Montenegro",43.00406055,15289.72119,81836109.06,983271558.4
"145","Morocco",11.31745963,7296.934401,2807924731,19270798770
"146","Mozambique",86.40050892,1118.222844,480680759,11565007228
"147","Myanmar",61.52781165,5056.859041,2493104515,16877269604
"148","Namibia",26.46842984,9975.12547,392806767.1,1800089690
"150","Nepal",85.26395819,2314.274881,523103054,11273032039
"151","Netherlands",5.889463079,46494.36426,13795736300,77926745392
"152","New Zealand",30.78917555,35309.82372,3412850260,20038657992
"153","Nicaragua",48.20490919,4956.921298,268996137.4,3612499925
"154","Niger",78.93982752,908.1762709,186469791,3099743759
"155","Nigeria",86.63562156,5670.639443,12801364804,1.41e+11
"156","North America",10.17618579,52016.22316,3.4e+11,2.49e+12
"157","Norway",57.7720016,64008.28683,8481338169,33290054332
"158","OECD members",11.98228575,38413.92742,7.84e+11,5.39e+12
"159","Oman",0,39873.3856,1768576728,27696012933
"162","Pakistan",46.47632492,4695.699879,5442267866,92541761042
"165","Panama",21.23415234,20786.65969,1307536172,4109681785
"167","Paraguay",61.67699459,8639.28685,723506565.1,5076101199
"168","Peru",25.50390552,11770.03445,5112685951,20846677310
"169","Philippines",27.45154445,6874.582566,6861411470,46263419730
"170","Poland",11.91148821,25299.97435,13187891565,97460614980
"171","Portugal",27.15729839,26607.83312,2458378489,21315484057
"172","Post-demographic dividend",11.79966193,40937.29187,7.1e+11,5.08e+12
"173","Pre-demographic dividend",75.58258938,3512.903032,33478160654,4.96e+11
"175","Qatar",0,119749.4285,8738566745,44299887411
"176","Romania",23.69779403,20556.00364,2705859069,31625297433
"177","Russia",3.304228351,24516.54995,9422965143,7.32e+11
"184","Saudi Arabia",0.005976542,50723.71265,15392090811,2.03e+11
"185","Senegal",42.71175163,2293.853539,484288509.7,3926132695
"186","Serbia",21.17388528,13277.80012,981479445.3,14765297219
"189","Singapore",0.708635297,81741.09694,9178699086,27013057361
"190","Slovakia",13.40916822,28308.87977,2648197463,16981522684
"191","Slovenia",20.87739614,29037.74168,724678887.7,6873601282
"194","South Africa",17.15014125,12377.65926,7821553279,1.44e+11
"195","South Asia",38.27538465,5332.822278,85055704436,9.62e+11
"196","South Asia (IDA & IBRD)",38.27538465,5332.822278,85055704436,9.62e+11
"197","South Korea",2.707702804,34177.65447,36235811086,2.67e+11
"198","South Sudan",39.07438432,1875.380066,-822371914.6,700732263.5
"199","Spain",16.25409774,32291.1552,21913716443,1.17e+11
"200","Sri Lanka",52.87589204,11079.71068,2234959826,10220325696
"201","Sub-Saharan Africa",70.12737498,3499.271211,40849260029,6.81e+11
"203","Sub-Saharan Africa (excluding high income)",70.14385116,3497.287982,40820958028,6.81e+11
"204","Sudan",61.59674748,4290.372249,2116491253,14776378680
"205","Suriname",24.91311036,14766.79918,90681495.44,706895877
"207","Sweden",53.2477698,45679.278,8861980507,50431839903
"208","Switzerland",25.29198368,57264.1574,8077779092,27365992485
"209","Tajikistan",44.65920392,2640.58952,45260600,2728426934
"210","Tanzania",85.71304194,2490.957101,1237848048,25506017459
"211","Thailand",22.86307013,15252.22825,10116112069,1.37e+11
"213","Togo",71.26466714,1351.053963,100419496.1,3376739898
"215","Trinidad and Tobago",0.284205764,31524.58862,635868141.1,19840889727
"216","Tunisia",12.56235035,10765.88625,1193182149,10628490164
"217","Turkey",13.37423004,23388.4813,28903047537,1.21e+11
"218","Turkmenistan",0.040887886,14992.32314,942950994.2,27176110388
"221","Ukraine",4.144318039,7464.939834,-3382733143,1.15e+11
"222","United Arab Emirates",0.137108046,66569.40341,9892510167,70442869531
"223","United Kingdom",8.711685574,38839.16696,43398960620,1.95e+11
"224","United States",8.716935867,53005.63615,3.08e+11,2.21e+12
"225","Upper middle income",13.28101968,15125.58535,5.36e+11,5.67e+12
"226","Uruguay",58.02204118,19831.4459,1046839588,4632934263
"227","Uzbekistan",2.9701787,5700.236028,1469630856,44428092679
"229","Vietnam",34.99856984,5554.858056,5002005371,61197834332
"230","World",18.05375499,14778.02574,1.51e+12,1.39e+13
"231","Yemen",2.276416687,2308.636584,494147819.8,8709565575
"232","Zambia",87.98545236,3627.202041,706795000.3,10241854779
"233","Zimbabwe",81.79780855,1912.280261,103219489.9,11678346208
